"id","id_cliente","id_publicacion","contenido","me_gusta"
"1","2","1","Me encanta la nueva colección de invierno, los abrigos son preciosos.","20"
"2","14","1","Los precios son un poco altos, pero la calidad es excelente.","5"
"3","22","1","¡No puedo esperar a comprar un abrigo nuevo! Necesito uno para el frío.","15"
"4","45","1","Me gustaría que incluyeran más colores en los abrigos.","2"
"5","77","1","La colección está increíble, pero ¿tendrán tallas grandes?","18"
"6","3","2","Totalmente de acuerdo, la calidad es impresionante. ¡Sigan así!","25"
"7","19","2","Yo tuve una mala experiencia con una chaqueta que compré.","3"
"8","35","2","¡Me encanta esta tienda! Mis amigos siempre me preguntan dónde compré.","12"
"9","68","2","No me convenció el diseño de la última colección.","1"
"10","98","2","Siempre salgo feliz de comprar aquí, la atención es excelente.","22"
"11","1","3","¡Gran promoción! Definitivamente me registraré para el descuento.","30"
"12","20","3","Siempre tengo problemas para registrarme. ¿Alguien más tuvo inconvenientes?","4"
"13","44","3","¡Gracias por el descuento! Justo necesito renovar mi armario.","28"
"14","66","3","¿Por qué solo para la primera compra? Me gustaría más ofertas.","6"
"15","85","3","Ya estoy en la lista, no puedo esperar a comprar algo nuevo.","20"
"16","8","4","Me encanta ver cómo combinan las prendas, ¡es inspirador!","18"
"17","32","4","No me gustan esos estilos, preferiría algo más clásico.","0"
"18","53","4","¡Esa camiseta es exactamente lo que buscaba! Gracias por compartir.","25"
"19","75","4","Podrían mostrar más looks para hombres también.","2"
"20","102","4","¡Qué bonita combinación! Definitivamente probaré algo similar.","15"
"21","5","5","Me encanta su compromiso con el medio ambiente. ¡Sigan así!","30"
"22","15","5","No sabía que usaban materiales sostenibles, eso me hace querer comprar más.","28"
"23","38","5","¡Que gran información! Estoy seguro de que la gente lo apreciará.","22"
"24","61","5","Eso suena genial, pero espero que no suban los precios.","3"
"25","99","5","Me alegra ver que están tomando iniciativas ecológicas.","26"
"26","11","6","¡Estoy listo para el fin de semana! Las sugerencias son muy útiles.","20"
"27","27","6","Esa falda es hermosa, pero ¿tendrán una blusa que combine?","15"
"28","39","6","Los outfits propuestos son muy bonitos, pero no creo que todos sean cómodos.","5"
"29","54","6","Me encanta la idea de outfit del día, ¡gracias por compartir!","19"
"30","70","6","¿Cuándo lanzan la ropa de verano? Ya la necesito.","10"
"31","13","7","¡Amo la ropa de playa! Perfecta para mis vacaciones.","27"
"32","25","7","No me gusta nada la ropa de playa que tienen, debería ser más colorida.","2"
"33","37","7","La calidad de los bikinis es increíble, estoy impresionada.","20"
"34","50","7","No tengo tiempo de ir a la tienda, ¿pueden enviar por correo?","3"
"35","82","7","Definitivamente quiero comprar algo de su línea de verano.","15"
"36","4","8","¡Qué bien que están organizando esto! Me encanta participar.","30"
"37","16","8","Es una gran oportunidad para los clientes. ¡Gracias!","28"
"38","35","8","¿El concurso es solo en Instagram? Espero que sea en todas las redes.","4"
"39","64","8","La última vez no gané, espero tener más suerte esta vez.","8"
"40","91","8","¡Me encanta el concepto! Estoy compartiendo mi look ahora.","20"
"41","9","9","Los descuentos son increíbles, ¡no puedo esperar!","15"
"42","30","9","No tengo nada en mi talla. ¡Frustrante!","1"
"43","41","9","Estoy muy emocionada por la liquidación, espero encontrar cosas geniales.","25"
"44","67","9","¡Qué mala suerte! Cuando fui, ya no había nada bueno.","0"
"45","88","9","Es genial ver precios tan bajos, gracias por esto.","18"
"46","12","10","¡Qué oferta! Definitivamente estoy comprando algo pronto.","30"
"47","28","10","No entiendo cómo pueden tener tan buenas ofertas, pero ¡me encanta!","25"
"48","46","10","La liquidación fue un desastre, no encontré nada en mi talla.","3"
"49","55","10","¿Hasta cuándo dura la liquidación? Necesito un nuevo abrigo.","12"
"50","97","10","Estoy feliz de ver este tipo de descuentos, ¡gracias!","22"
"51","18","1","Estoy impresionado por la calidad de la nueva colección, ¡muy recomendable!","19"
"52","34","1","No tengo buenas experiencias con sus abrigos, se dañan rápido.","0"
"53","40","1","Los colores de los abrigos son muy bonitos, ¡me encantaría probar uno!","17"
"54","63","1","Quiero ver más opciones de accesorios que combinen.","1"
"55","72","1","La colección es buena, pero los precios son un poco elevados.","5"
"56","10","2","Me encanta el abrigo que compré, la calidad es inigualable.","25"
"57","33","2","El servicio al cliente es excelente, siempre están dispuestos a ayudar.","15"
"58","52","2","La tienda tiene buenas ofertas, pero a veces no encuentro mi talla.","3"
"59","74","2","La colección de invierno me gusta, pero debería haber más variedad.","2"
"60","92","2","Siempre encuentro algo que me encanta, ¡gracias por la calidad!","20"
"61","1","3","¡Increíble oferta! Espero que mantengan los buenos precios.","30"
"62","26","3","Siempre estoy en busca de descuentos, gracias por la información.","18"
"63","39","3","Me encanta recibir promociones, eso me hace volver a comprar.","22"
"64","64","3","Tienen que ofrecer más descuentos, eso atrae más clientes.","4"
"65","81","3","Me gusta ver que ofrecen buenos descuentos, ¡muchas gracias!","28"
"66","5","4","Las combinaciones son fabulosas, ¡definitivamente voy a probar algo!","25"
"67","24","4","Me gusta ver variedad en los outfits, sigan así.","20"
"68","45","4","El estilo de la camiseta es único, ¡me encantó!","18"
"69","59","4","No estoy seguro si me gustaría probar eso, es un poco raro.","0"
"70","91","4","¡Me encanta la forma en que presentan sus looks! Muy inspirador.","30"
"71","8","5","Gran iniciativa, ¡me alegra saber que son sostenibles!","18"
"72","21","5","La sostenibilidad es clave para mí, compraré más.","15"
"73","42","5","Aunque la sostenibilidad es importante, espero que no suban los precios.","2"
"74","66","5","¡Quiero saber más sobre sus materiales sostenibles!","10"
"75","89","5","Eso es increíble, el mundo necesita más empresas responsables.","20"
"76","6","6","¡Listo para la fiesta de fin de semana! Gracias por la inspiración.","22"
"77","15","6","Necesito más sugerencias para outfits de oficina.","6"
"78","30","6","Es genial ver que están ofreciendo ideas de moda. ¡Me encanta!","15"
"79","53","6","No me gustan mucho esas combinaciones, prefiero algo más sencillo.","1"
"80","88","6","Todo se ve tan bien. ¡Espero que tengan stock!","25"
"81","12","7","Me encanta la ropa de playa, ¡perfecta para el verano!","20"
"82","25","7","La ropa de playa debería ser más accesible, es cara.","5"
"83","34","7","¡Definitivamente estoy comprando algo de su nueva colección de playa!","25"
"84","46","7","No entiendo por qué tienen ropa tan cara, hay opciones más baratas.","2"
"85","70","7","Las prendas de playa son divinas, ¡gracias por crear eso!","30"
"86","14","8","¡Estoy tan emocionada de participar en esto!","20"
"87","29","8","Me encantaría ganar, pero creo que es muy difícil.","6"
"88","49","8","¡Genial! Participaré y compartiré mi look.","30"
"89","64","8","La última vez no pude ganar, espero que esta vez sea diferente.","2"
"90","88","8","¡Me gusta la idea de compartir looks en redes!","25"
"91","19","9","¡Que bien que tengan descuentos! Necesito comprar ropa.","20"
"92","38","9","Me decepcionó que no quedaran prendas de mi talla.","1"
"93","56","9","Estoy esperando una liquidación desde hace tiempo. ¡Aprovecharé!","15"
"94","71","9","Espero que las promociones sean más frecuentes, ¡me encanta comprar aquí!","10"
"95","90","9","Me encanta la calidad, ¡pero necesito más tallas disponibles!","2"
"96","7","10","Es increíble ver tantos descuentos, ¡voy a comprar mucho!","30"
"97","31","10","No me gusta la calidad de algunos productos, debería mejorar.","2"
"98","40","10","La liquidación es genial, ¡no puedo esperar para ir de compras!","20"
"99","55","10","La última vez no encontré nada, espero que esta vez sea diferente.","1"
"100","83","10","Excelente, la liquidación está muy bien, ¡gracias!","28"
"101","13","1","La nueva colección es impresionante. Me encanta la variedad.","15"
"102","24","1","Los precios son un poco altos, pero estoy dispuesto a pagar por calidad.","5"
"103","39","1","El abrigo que compré me ha durado años, ¡muy contento con mi compra!","25"
"104","57","1","¡Me encanta todo! Espero que tenga tiempo para visitar la tienda pronto.","30"
"105","75","1","Me gustaría que tuvieran más opciones de tallas.","2"
"106","10","2","Siempre me atienden bien, ¡eso me hace volver!","20"
"107","31","2","Los diseños son muy modernos, ¡me gustan mucho!","18"
"108","47","2","La calidad de los productos ha mejorado bastante. Estoy muy feliz.","22"
"109","67","2","Los precios son muy competitivos. ¡Seguiré comprando aquí!","28"
"110","90","2","No estoy seguro si volveré, la última experiencia no fue buena.","1"
"111","3","3","Espero que el descuento funcione como prometen. ¡Emocionada!","25"
"112","22","3","No me gusta que los descuentos sean solo para los nuevos.","4"
"113","36","3","Me encanta la idea de recibir promociones, ¡gracias!","20"
"114","54","3","Parece que la promoción es limitada, no estoy seguro si aprovecharla.","2"
"115","79","3","Es una buena estrategia para atraer nuevos clientes. ¡Bravo!","15"
"116","6","4","Los outfits son espectaculares. ¡Me inspiran a comprar más!","30"
"117","18","4","El estilo es genial, pero no creo que se venda en mi talla.","5"
"118","39","4","¡Eso es lo que busco! Los looks son perfectos para mí.","20"
"119","62","4","No tengo el mismo gusto, prefiero algo más clásico.","1"
"120","88","4","Increíble presentación de outfits, ¡definitivamente compraré!","25"
"121","11","5","Saber que son sostenibles me hace querer comprar más.","15"
"122","27","5","La moda responsable es lo de hoy, ¡me alegra que lo hagan!","20"
"123","43","5","Sería genial saber más sobre los materiales que usan.","2"
"124","69","5","Me gustaría que tuvieran una sección específica de moda sostenible.","3"
"125","95","5","Estoy impresionado por su compromiso, eso atrae más clientes.","22"
"126","8","6","¡Me encanta ver cómo combinan las prendas! Inspiran a comprar.","28"
"127","24","6","No creo que esos estilos sean para mí, prefiero lo sencillo.","1"
"128","37","6","Gracias por las ideas de outfits, son muy útiles.","20"
"129","55","6","Espero que tengan todas las tallas disponibles.","3"
"130","82","6","Siempre encuentro algo nuevo e interesante, ¡gracias!","25"
"131","15","7","La ropa de playa es hermosa, ¡gracias por pensar en eso!","20"
"132","29","7","No soy fan de la ropa de playa, me gustaría más opciones.","2"
"133","44","7","Estoy lista para comprar, ¡el verano se acerca!","28"
"134","63","7","El diseño de los bikinis es muy atractivo, ¡definitivamente compraré!","30"
"135","94","7","¿Por qué las prendas de playa son tan caras? Eso no me gusta.","1"
"136","17","8","¡Estoy tan emocionada de participar en el concurso!","22"
"137","35","8","No tengo esperanzas de ganar, pero me encanta compartir mi look.","4"
"138","52","8","Es genial que hagan este tipo de actividades, ¡gracias!","18"
"139","69","8","¿Solo en Instagram? Sería genial que fuera en todas las redes.","3"
"140","88","8","¡Vamos a participar y hacer que nuestro look sea viral!","25"
"141","14","9","¡Los descuentos son increíblemente atractivos! No me los pierdo.","20"
"142","25","9","La última vez no encontré nada en liquidación, fue decepcionante.","1"
"143","47","9","Espero encontrar algo que me guste en la liquidación.","15"
"144","66","9","Me encanta comprar aquí, pero a veces no hay tallas suficientes.","2"
"145","82","9","Por favor, mantengan los descuentos, ¡son una gran estrategia!","30"
"146","13","10","Increíbles ofertas, ¡definitivamente estoy comprando!","25"
"147","36","10","Los precios están bien, pero no siempre hay variedad.","3"
"148","54","10","¡Me encanta ver tantos descuentos, es emocionante!","20"
"149","77","10","No tengo buena suerte en las liquidaciones, siempre encuentro lo que no quiero.","0"
"150","99","10","Gracias por las ofertas, ¡me emociona mucho comprar!","28"
"151","3","1","Los abrigos son preciosos, ¡no puedo esperar para comprarlos!","25"
"152","14","1","La calidad es increíble, pero el precio es un poco alto.","4"
"153","25","1","¡Quiero uno de cada color! Son tan elegantes.","30"
"154","42","1","No estoy seguro de los colores, deberían ofrecer más opciones.","2"
"155","56","1","Me encanta la nueva colección de invierno, ¡genial trabajo!","20"
"156","5","2","La ropa que compré es muy cómoda, definitivamente volveré.","15"
"157","18","2","Tuve un mal servicio en mi última compra, no me gustó.","1"
"158","30","2","Siempre encuentro algo que me encanta aquí, ¡gracias!","22"
"159","49","2","Los diseños son únicos, pero creo que deberían bajar un poco los precios.","5"
"160","66","2","Estoy muy feliz con mi compra, ¡recomendaré a mis amigos!","28"
"161","8","3","¡Los descuentos son geniales! Siempre estoy buscando buenas ofertas.","20"
"162","23","3","¿Por qué el descuento es solo para nuevos clientes? Eso no es justo.","2"
"163","38","3","Me encanta recibir estas promociones, ¡hacen la compra más emocionante!","18"
"164","51","3","No me convenció la promoción, los precios ya son altos.","3"
"165","79","3","¡Gracias por la oferta! Siempre regreso a comprar más.","30"
"166","12","4","Me encanta ver los outfits, ¡siempre me inspiran!","25"
"167","31","4","No estoy seguro de esos estilos, son un poco raros.","0"
"168","44","4","Las combinaciones son fabulosas, ¡gracias por compartir!","20"
"169","66","4","¿Pueden mostrar más looks para hombres? Me gustaría ver opciones.","4"
"170","85","4","Increíbles combinaciones, estoy lista para comprar.","30"
"171","7","5","Me alegra saber que son responsables con el medio ambiente, ¡sigan así!","22"
"172","29","5","Me gusta ver marcas que se preocupan por el planeta, ¡gracias!","20"
"173","48","5","Sería genial si tuvieran más información sobre los materiales.","2"
"174","65","5","Estoy emocionada de saber que están haciendo esto, ¡me hace querer comprar más!","30"
"175","94","5","Me gustaría que el enfoque sostenible no afecte los precios.","5"
"176","11","6","¡Gran idea con los outfits del día! Me encanta su estilo.","25"
"177","27","6","Siempre tienen buenas ideas de moda, ¡gracias!","20"
"178","45","6","No estoy segura si eso se verá bien en mí, pero me gusta la idea.","3"
"179","63","6","¿Pueden incluir sugerencias para diferentes tipos de cuerpo?","1"
"180","90","6","Estoy lista para probar algunos de estos outfits, ¡gracias por la inspiración!","28"
"181","17","7","¡Amo la ropa de playa! Perfecta para mis vacaciones este verano.","30"
"182","34","7","No me gusta el diseño de algunas prendas de playa, deberían mejorar.","2"
"183","52","7","Los bikinis son divinos, ¡definitivamente compraré!","20"
"184","71","7","¿Por qué son tan caros algunos de sus trajes de baño? No es justo.","1"
"185","99","7","Estoy emocionada por la nueva colección de verano, ¡gracias por pensar en eso!","25"
"186","15","8","Estoy tan emocionada de participar, ¡gracias por la oportunidad!","22"
"187","32","8","La última vez no gané, pero me gusta compartir mi estilo.","5"
"188","50","8","¡Gracias por crear este tipo de concursos! Me encantan.","30"
"189","68","8","Ojalá pueda ganar esta vez, ¡he compartido mi look!","15"
"190","85","8","Es una gran iniciativa, ¡me encanta participar!","18"
"191","19","9","¡Los descuentos son increíbles! No puedo esperar para ir de compras.","25"
"192","37","9","No me gusta que a veces no encuentren mi talla en liquidación.","2"
"193","58","9","Siempre regreso por sus precios, ¡es una gran tienda!","20"
"194","72","9","La liquidación debería incluir más productos, ¡es decepcionante!","3"
"195","97","9","Gracias por las ofertas, ¡no puedo esperar a comprar más!","28"
"196","2","10","¡Me encanta ver tantos descuentos, es emocionante!","30"
"197","26","10","La última vez que fui no encontré nada que me gustara.","1"
"198","44","10","Siempre encuentro algo interesante en sus liquidaciones, ¡gracias!","22"
"199","61","10","La calidad de algunas prendas no es la misma que antes, espero que mejoren.","5"
"200","89","10","Estoy feliz de ver estos descuentos, ¡definitivamente estoy comprando!","20"
